n,t,p
1340,68904,932.60
1341,68956,932.63
1342,69007,932.62
1343,69058,932.61
1344,69108,932.60
1345,69157,932.61
1346,69206,932.63
1347,69270,932.62
1348,69320,932.62
1349,69372,932.61
1350,69424,932.58
1351,69475,932.58
1352,69526,932.61
1353,69577,932.59
1354,69629,932.59
1355,69681,932.58
1356,69732,932.63
1357,69783,932.55
1358,69834,932.60
1359,69885,932.62
1360,69938,932.57
1361,69989,932.60
1362,70045,932.58
1363,70096,932.59
1364,70149,932.60
1365,70200,932.59
1366,70251,932.57
1367,70302,932.57
1368,70353,932.58
1369,70405,932.58
1370,70457,932.57
1371,70508,932.59
1372,70559,932.58
1373,70610,932.60
1374,70663,932.57
1375,70714,932.57
1376,70768,932.57
1377,70819,932.63
1378,70872,932.63
1379,70923,932.65
1380,70974,932.59
1381,71026,932.60
1382,71077,932.58
1383,71129,932.59
1384,71181,932.58
1385,71232,932.59
1386,71283,932.60
1387,71335,932.60
1388,71387,932.57
1389,71438,932.55
1390,71494,932.57
1391,71546,932.58
1392,71598,932.61
1393,71649,932.59
1394,71701,932.55
1395,71752,932.59
1396,71804,932.61
1397,71856,932.64
1398,71907,932.63
1399,71958,932.60
1400,72010,932.60
1401,72061,932.59
1402,72113,932.59
1403,72165,932.59
1404,72219,932.59
1405,72270,932.61
1406,72323,932.63
1407,72374,932.61
1408,72425,932.60
1409,72477,932.60
1410,72528,932.59
1411,72581,932.62
1412,72632,932.59
1413,72683,932.57
1414,72734,932.61
1415,72786,932.63
1416,72838,932.64
1417,72890,932.63
1418,72944,932.60
1419,72995,932.64
1420,73047,932.63
1421,73098,932.66
1422,73150,932.60
1423,73201,932.56
1424,73252,932.62
1425,73305,932.60
1426,73356,932.62
1427,73408,932.63
1428,73459,932.59
1429,73510,932.61
1430,73563,932.58
1431,73614,932.63
1432,73665,932.63
1433,73710,932.63
1434,73760,932.63
1435,73809,932.60
1436,73859,932.61
1437,73907,932.59
1438,73956,932.58
1439,74005,932.64
1440,74054,932.58
1441,74103,932.57
1442,74152,932.61
1443,74202,932.59
1444,74251,932.60
1445,74300,932.58
1446,74364,932.61
1447,74416,932.55
1448,74468,932.58
1449,74518,932.59
1450,74569,932.61
1451,74621,932.60
1452,74673,932.56
1453,74724,932.60
1454,74775,932.58
1455,74827,932.64
1456,74878,932.57
1457,74930,932.59
1458,74982,932.62
1459,75033,932.60
1460,75084,932.61
1461,75139,932.60
1462,75191,932.56
1463,75242,932.64
1464,75293,932.61
1465,75345,932.63
1466,75397,932.59
1467,75449,932.60
1468,75500,932.57
1469,75551,932.59
1470,75603,932.61
1471,75655,932.60
1472,75707,932.60
1473,75758,932.57
1474,75813,932.57
1475,75865,932.60
1476,75917,932.57
1477,75967,932.60
1478,76018,932.60
1479,76069,932.61
1480,76121,932.56
1481,76172,932.61
1482,76224,932.61
1483,76275,932.61
1484,76326,932.57
1485,76378,932.63
1486,76429,932.56
1487,76481,932.57
1488,76532,932.60
1489,76587,932.61
1490,76639,932.63
1491,76690,932.63
1492,76741,932.64
1493,76793,932.62
1494,76845,932.58
1495,76896,932.56
1496,76948,932.54
1497,76999,932.63
